City,Cuisines
Abu Dhabi,"American, Italian, Pizza, Turkish, Arabian, Middle Eastern, Fast Food, Burger, Asian, Thai, Japanese, Chinese, Indonesian, Vietnamese, Indian, North Indian, Mughlai, Biryani, South Indian, Filipino, Mexican, Seafood, Pakistani, Afghani, Hyderabadi, Lebanese, Desserts"
Agra,"North Indian, Mughlai, Rajasthani, Chinese, European, Gujarati, Continental, South Indian, Desserts, Cafe, Italian, Mexican, Pizza, Fast Food"
Ahmedabad,"Chinese, Italian, North Indian, Mexican, Mediterranean, Thai, Continental, Ice Cream, Desserts, Pizza, Beverages, Cafe, South Indian, Asian, Fast Food, Street Food, Sandwich, Burger, Healthy Food, American, Armenian"
Albany,"BBQ, Burger, Seafood, American, Steak,American,Bar Food, Mexican, Coffee and Tea, Sandwich, Fast Food, Asian, Chinese, Vegetarian, Pizza, Bar Food, Steak, Tapas, Japanese, Sushi, Italian, Breakfast, Diner"
Allahabad,"North Indian, South Indian, Fast Food, Cafe, Street Food, Chinese, American, Mughlai, Italian, Pizza, Salad, Healthy Food, Continental, Desserts"
Amritsar,"North Indian, Chinese, Beverages, Mughlai, Street Food, Cafe, Bakery, Fast Food, Italian, South Indian, Mithai"
Ankara,"Cafe, Kebab, Turkish Pizza, Desserts, Patisserie, Coffee and Tea, Izgara, World Cuisine, Mexican, Italian, Steak, D�_ner, Pizza"
Armidale,"Bar Food, Steak"
Athens,"American, Southern, Southwestern, Mexican, Japanese, Korean, Breakfast, Burger, Sandwich, Italian, Pizza, International, Vegetarian, Asian, Sushi, Spanish, Bar Food, Desserts, Latin American, Argentine"
Auckland,"Thai, Ice Cream, Desserts, American, Seafood, Kiwi, Cafe, Asian Fusion, European, Taiwanese, Street Food, Chinese, Pub Food, Fusion, Asian, Filipino, Malaysian, Sushi, Italian"
Augusta,"Chinese, Steak, American, Caribbean, Seafood, International, Tapas, Vegetarian, Desserts, Sandwich, Southern, Burger, Breakfast, French, BBQ, Italian, Pizza, Mexican, Bar Food, Southwestern, Sushi, Indian, German, Vietnamese, Thai"
Aurangabad,"North Indian, Chinese, Continental, Italian, Pizza, South Indian, Fast Food, Mexican, Biryani, Juices, Desserts, Mughlai, Maharashtrian, Cafe, Hyderabadi"
Balingup,Modern Australian
Bandung,"Cafe, Coffee and Tea, Western"
Bangalore,"North Indian, Mughlai, Asian, Italian, American, Pizza, European, Continental, Modern Indian, Bakery, Desserts, Cafe, Chinese, Burger, Mediterranean, Street Food, Finger Food, Thai, South Indian"
Beechworth,"Pizza, Bar Food"
Bhopal,"Cafe, Chinese, North Indian, Fast Food, Pizza, Bakery, South Indian, Italian, Mexican, Tex-Mex, Street Food"
Bhubaneshwar,"Cafe, Chinese, Mediterranean, Asian, Continental, North Indian, Arabian, Charcoal Grill, Steak, Fast Food, European, Italian, Mexican, Bakery, Beverages, Mughlai, Seafood, Rajasthani, Tea"
Birmingham,"Fast Food, Cafe, British, Steak, Thai, Burger, American, Italian, Latin American, Contemporary, Turkish, Indian, Greek, Mediterranean, Middle Eastern, Pakistani, Ice Cream, Desserts, South Indian, Mexican"
Bogor,"Cafe, Desserts, Beverages, Peranakan, Indonesian"
Boise,"American, Bar Food, Italian, Pizza, Breakfast, Sandwich, Seafood, Steak, European, Spanish, Latin American, Burger, Mexican, Vegetarian, Sushi, Thai, Japanese, Teriyaki, Brazilian, BBQ"
Bras�_lia,"Fast Food, French, Cafe, Bakery, Brazilian, Pizza, Japanese, Arabian, Italian, Bar Food, Mexican, Grill, International, Peruvian, Latin American, American, Seafood, Burger"
Cape Town,"Pizza, Grill, Cafe, Patisserie, Spanish, Tapas, Bakery, Japanese, Sushi, Asian, Tea, Vegetarian, Mediterranean, Burger, American, Seafood, Fast Food, Desserts, Ice Cream, African"
Cedar Rapids/Iowa City,"American, Mediterranean, Seafood, Italian, Pizza, Mexican, Breakfast, Burger, BBQ, Indian, Chinese, Sushi, Thai, Diner, International, Tapas, Vegetarian, Sandwich"
Chandigarh,"North Indian, Chinese, Continental, Pizza, American, Cafe, Mexican, Italian, Japanese, Thai, Malaysian, Burmese, Asian, Finger Food, Tex-Mex, Burger, Bakery, Desserts, Fast Food, Beverages, Mughlai"
Chatham-Kent,"Japanese, Sushi"
Chennai,"European, Italian, Desserts, North Indian, Chinese, Arabian, Continental, Cafe, Mughlai, South Indian, Mexican, American, Tex-Mex, Burger, Thai, Chettinad, Biryani, Spanish, Greek, Mediterranean, Asian"
Clatskanie,"American, Breakfast, Desserts"
Cochrane,"Asian, Japanese"
Coimbatore,"Cafe, Continental, Fast Food, South Indian, Chettinad, North Indian, Pizza, Chinese, Desserts, Indian, Biryani, Thai, Malaysian, Parsi, Italian, Mexican, Bakery, Street Food, Ice Cream, European, Mediterranean"
Colombo,"Chinese, North Indian, Sri Lankan, Italian, Cafe, Desserts, Continental, American, Malaysian, Steak, Juices, Fast Food, Beverages, Middle Eastern, Arabian, Bakery, Ice Cream, Seafood"
Columbus,"Asian, Vietnamese, American, Seafood, Cajun, Burger, Bar Food, Southern, Pizza, Japanese, Steak, Breakfast, Diner, Sushi, Thai, Vegetarian, Chinese, BBQ, Italian, Tapas, Mediterranean"
Consort,"Chinese, Canadian"
Dalton,"American, BBQ, Southern, Desserts, Sandwich, Mexican, Tex-Mex, Breakfast, Japanese, Sushi, Italian, Burger, Fast Food, Thai, Diner, Pizza"
Davenport,"Indian, Mediterranean, Middle Eastern, Sushi, Teriyaki, Burger, Pizza, American, Breakfast, Greek, Italian, Asian, Fast Food, French, Bar Food, BBQ, Mexican, Chinese, Thai, Japanese, Steak"
Dehradun,"North Indian, Chinese, South Indian, Desserts, Fast Food, Street Food, Continental, Thai, Tibetan, Mughlai, Cafe, Bakery, Burger, Mediterranean, Asian, Mexican"
Des Moines,"BBQ, Burger, Desserts, American, Coffee and Tea, Caribbean, Cajun, Asian, Sushi, Thai, Chinese, Latin American, Mexican, Italian, Pizza, Vegetarian, Vietnamese, Bubble Tea, Bar Food, French, Japanese, Breakfast, Southwestern, Seafood"
Dicky Beach,"Coffee and Tea, Tea, Modern Australian"
Doha,"Indian, Street Food, Kerala, Chinese, Bakery, Pakistani, North Indian, Turkish, American, Tex-Mex, Steak, Seafood, International, European, Arabian, Japanese, Desserts, Thai, Italian"
Dubai,"Mediterranean, Italian, Thai, European, Indian, Rajasthani, North Indian, International, Continental, American, Burger, Cafe, Fast Food, Asian, Chinese, Street Food, Seafood, Desserts, Mexican, Goan"
Dubuque,"Breakfast, Seafood, Mexican, American, BBQ, Italian, Burger, Sandwich, Desserts, Pizza, Ice Cream, Japanese, Steak, Sushi, International, Cafe"
East Ballina,Cafe
Edinburgh,"Cafe, Bakery, Italian, Desserts, Scottish, British, French, Mexican, Thai, American, Burger, Grill, Indian, Sushi, Japanese, Cantonese, Pizza, Seafood, Asian, Street Food, Steak"
Faridabad,"Chinese, Fast Food, Bakery, North Indian, Mithai, Mughlai, Cafe, Raw Meats, Burger, South Indian, Gujarati, Rajasthani, Thai, Desserts, American, Salad, Healthy Food, Ice Cream, Continental, Beverages, Italian, Pizza, Street Food, Mexican, Juices, Asian, Seafood, Biryani, Mediterranean, Finger Food"
Fernley,Mexican
Flaxton,"Tea, Modern Australian"
Forrest,"Cafe, Australian"
Gainesville,"American, Sandwich, Seafood, BBQ, Burger, Cajun, Vegetarian, Chinese, Japanese, Thai, Bar Food, Southern, European, German, Ice Cream, Italian, Pizza"
Ghaziabad,"North Indian, Bakery, Fast Food, Cafe, Desserts, Ice Cream, Chinese, Burger, Continental, Pizza, South Indian, Mughlai, Street Food, Mithai"
Goa,"Italian, French, Cafe, Fast Food, Finger Food, Continental, North Indian, Seafood, Goan, Chinese, European, German"
